Date,Open*,High,Low,Close**,Volume,Market Cap
14.Sep.15,0.940566,0.95,0.87,0.875622,"741,085","64,084,135"
15.Sep.15,0.875189,1.05,0.88,0.94441,"703,390","69,141,409"
16.Sep.15,0.941977,0.95,0.90,0.907175,"615,593","66,437,873"
17.Sep.15,0.906865,0.91,0.83,0.874231,"897,940","64,046,216"
18.Sep.15,0.874574,0.89,0.83,0.853685,"484,622","62,561,883"
19.Sep.15,0.849603,0.91,0.83,0.882391,"386,988","64,687,992"
20.Sep.15,0.881191,0.95,0.87,0.938445,"508,314","68,822,183"
21.Sep.15,0.941496,0.96,0.88,0.919047,"424,039","67,422,915"
22.Sep.15,0.919337,0.92,0.87,0.901796,"487,914","66,180,153"
23.Sep.15,0.90356,0.91,0.89,0.893406,"200,541","65,587,499"
24.Sep.15,0.896796,0.91,0.79,0.81361,"842,505","59,749,888"
25.Sep.15,0.820031,0.83,0.71,0.736223,"903,457","54,085,581"
26.Sep.15,0.73763,0.79,0.71,0.785964,"369,620","57,759,115"
27.Sep.15,0.791277,0.79,0.72,0.720839,"413,801","52,990,396"
28.Sep.15,0.723715,0.73,0.56,0.582886,"1,320,890","42,863,006"
29.Sep.15,0.579414,0.68,0.56,0.661146,"913,992","48,633,259"
30.Sep.15,0.661192,0.75,0.64,0.738644,"619,926","54,351,468"
1.Oct.15,0.734307,0.73,0.66,0.690215,"596,084","50,805,919"
2.Oct.15,0.683732,0.69,0.65,0.678574,"219,318","49,966,502"
3.Oct.15,0.678783,0.71,0.68,0.687171,"163,326","50,616,972"
4.Oct.15,0.686343,0.69,0.66,0.668379,"103,497","49,249,083"
5.Oct.15,0.666784,0.67,0.62,0.628643,"234,263","46,336,892"
6.Oct.15,0.622218,0.65,0.61,0.650645,"262,674","47,974,298"
7.Oct.15,0.650515,0.66,0.60,0.609388,"218,327","44,947,527"
8.Oct.15,0.609501,0.63,0.59,0.621716,"310,266","45,872,837"
9.Oct.15,0.655084,0.69,0.63,0.650628,"386,420","48,022,036"
10.Oct.15,0.641187,0.65,0.62,0.627857,"141,555","46,356,711"
11.Oct.15,0.627461,0.64,0.62,0.634963,"102,128","46,897,253"
12.Oct.15,0.634515,0.66,0.63,0.62603,"109,567","46,253,823"
13.Oct.15,0.627943,0.63,0.60,0.607655,"303,044","44,911,718"
14.Oct.15,0.61224,0.61,0.48,0.522968,"971,664","38,665,409"
15.Oct.15,0.523278,0.57,0.51,0.561878,"371,022","41,556,025"
16.Oct.15,0.562593,0.57,0.52,0.536495,"249,891","39,691,829"
17.Oct.15,0.534117,0.56,0.53,0.547178,"313,860","40,496,031"
18.Oct.15,0.547913,0.55,0.51,0.517734,"133,690","38,329,702"
19.Oct.15,0.517621,0.52,0.48,0.489014,"243,742","36,215,624"
20.Oct.15,0.489629,0.50,0.43,0.434829,"383,921","32,213,626"
21.Oct.15,0.431589,0.48,0.42,0.447329,"609,085","33,150,826"
22.Oct.15,0.444988,0.62,0.42,0.567702,"924,822","42,085,192"
23.Oct.15,0.56637,0.61,0.50,0.539657,"878,822","40,020,348"
24.Oct.15,0.539681,0.58,0.52,0.56359,"258,356","41,809,764"
25.Oct.15,0.563207,0.69,0.56,0.616039,"635,384","45,716,387"
26.Oct.15,0.619743,0.76,0.60,0.731317,"1,089,120","54,289,124"
27.Oct.15,0.70889,0.90,0.71,0.869641,"1,846,370","64,580,263"
28.Oct.15,0.870938,1.06,0.81,1,"2,373,050","74,469,864"
29.Oct.15,1.01,1.21,0.95,1.21,"2,279,240","89,668,667"
30.Oct.15,1.21,1.35,0.97,1.04,"2,429,200","77,401,817"
31.Oct.15,1.05,1.06,0.90,0.916627,"673,892","68,163,368"
1.Nov.15,0.920847,1.08,0.90,1.06,"588,913","78,530,263"
2.Nov.15,1.06,1.10,0.95,0.989789,"1,145,200","73,654,327"
3.Nov.15,0.994568,1.07,0.94,1.01,"1,907,690","75,434,114"
4.Nov.15,1.01,1.04,0.73,0.89905,"3,060,340","66,947,930"
5.Nov.15,0.900699,0.99,0.86,0.895637,"1,179,840","66,716,645"
6.Nov.15,0.904772,0.99,0.85,0.926032,"913,666","69,004,595"
7.Nov.15,0.923732,0.94,0.86,0.927974,"890,187","69,172,171"
8.Nov.15,0.915661,1.03,0.92,1.03,"1,021,460","76,614,488"
9.Nov.15,1.03,1.11,0.95,0.999278,"2,045,290","74,537,426"
10.Nov.15,1,1.05,0.92,0.934348,"854,581","69,717,801"
11.Nov.15,0.941296,0.95,0.73,0.791829,"1,278,580","59,103,443"
12.Nov.15,0.796455,0.91,0.76,0.895711,"806,156","66,880,152"
13.Nov.15,0.907722,0.92,0.85,0.904096,"543,671","67,529,354"
14.Nov.15,0.905469,0.91,0.88,0.888812,"372,514","66,410,518"
15.Nov.15,0.891217,0.92,0.87,0.906368,"411,848","67,745,801"
16.Nov.15,0.906166,0.94,0.89,0.928962,"620,945","69,458,011"
17.Nov.15,0.924948,1.03,0.91,1.01,"1,145,440","75,392,162"
18.Nov.15,0.993214,1.01,0.94,0.993319,"681,104","74,320,769"
19.Nov.15,0.988713,1.01,0.94,0.955532,"443,528","71,517,342"
20.Nov.15,0.955735,0.96,0.90,0.92492,"614,335","69,247,998"
21.Nov.15,0.928758,0.98,0.92,0.97614,"455,976","73,107,357"
22.Nov.15,0.979765,0.98,0.96,0.968018,"372,173","72,523,507"
23.Nov.15,0.967493,0.97,0.93,0.946969,"441,875","70,970,606"
24.Nov.15,0.946442,0.95,0.90,0.900191,"524,195","67,487,356"
25.Nov.15,0.893827,0.90,0.85,0.863537,"622,991","64,760,707"
26.Nov.15,0.863273,0.90,0.80,0.884183,"947,473","66,330,892"
27.Nov.15,0.8821,0.90,0.86,0.867951,"403,813","65,135,635"
28.Nov.15,0.868102,0.93,0.86,0.915703,"462,464","68,742,122"
29.Nov.15,0.914144,0.91,0.86,0.878614,"448,358","65,980,042"
30.Nov.15,0.879951,0.90,0.85,0.873119,"784,439","65,589,555"
1.Dec.15,0.878316,0.89,0.85,0.8748,"652,857","65,738,067"
2.Dec.15,0.873171,0.88,0.82,0.82121,"506,307","61,730,775"
3.Dec.15,0.818546,0.84,0.79,0.812143,"539,969","61,070,307"
4.Dec.15,0.812082,0.86,0.80,0.840041,"241,278","63,189,182"
5.Dec.15,0.841195,0.87,0.82,0.862438,"232,743","64,895,497"
6.Dec.15,0.866417,0.88,0.83,0.8355,"443,608","62,889,050"
7.Dec.15,0.836322,0.85,0.79,0.811264,"520,409","61,084,951"
8.Dec.15,0.806024,0.82,0.78,0.822118,"445,903","61,922,409"
9.Dec.15,0.824454,0.82,0.77,0.792167,"624,221","59,687,098"
10.Dec.15,0.79559,0.86,0.79,0.840396,"369,589","63,342,630"
11.Dec.15,0.839995,0.93,0.82,0.929762,"801,072","70,101,842"
12.Dec.15,0.931196,1.05,0.93,0.976973,"1,376,280","73,686,284"
13.Dec.15,0.971538,0.99,0.94,0.952884,"273,614","71,894,531"
14.Dec.15,0.95662,1.01,0.95,0.993022,"563,436","74,947,760"
15.Dec.15,0.990589,1.03,0.98,1.01,"578,618","76,568,082"
16.Dec.15,1.02,1.02,0.97,0.991182,"320,767","74,858,729"
17.Dec.15,0.993043,1.00,0.91,0.940701,"640,765","71,069,938"
18.Dec.15,0.938327,0.94,0.91,0.920127,"300,787","69,538,663"
19.Dec.15,0.921524,0.93,0.89,0.908072,"343,535","68,650,439"
20.Dec.15,0.90824,0.94,0.90,0.903885,"472,164","68,356,313"
21.Dec.15,0.906065,0.92,0.89,0.900771,"549,113","68,143,246"
22.Dec.15,0.894973,0.91,0.86,0.864202,"454,249","65,398,932"
23.Dec.15,0.861782,0.88,0.86,0.858077,"334,993","64,957,356"
24.Dec.15,0.859433,0.88,0.85,0.863262,"354,646","65,371,538"
25.Dec.15,0.861993,0.88,0.86,0.870363,"187,114","65,931,377"
26.Dec.15,0.870766,0.90,0.84,0.854603,"425,282","64,758,910"
27.Dec.15,0.853166,0.86,0.84,0.856365,"164,565","64,913,919"
28.Dec.15,0.856356,0.87,0.83,0.845005,"235,134","64,074,279"
29.Dec.15,0.843835,0.87,0.83,0.873054,"215,742","66,222,901"
30.Dec.15,0.874258,0.94,0.87,0.911958,"604,078","69,196,765"
31.Dec.15,0.912098,0.98,0.91,0.933542,"663,994","70,858,023"
1.Jan.16,0.933712,0.95,0.93,0.948024,"206,062","71,980,386"
2.Jan.16,0.947401,0.97,0.94,0.937124,"255,504","71,176,658"
3.Jan.16,0.93843,0.99,0.93,0.971905,"407,632","73,843,292"
4.Jan.16,0.972045,0.98,0.93,0.95448,"346,245","72,543,707"
5.Jan.16,0.953147,0.97,0.95,0.950176,"219,833","72,240,974"
6.Jan.16,0.950028,0.96,0.94,0.95086,"308,791","72,317,149"
7.Jan.16,0.955801,0.97,0.94,0.942005,"647,462","71,667,152"
8.Jan.16,0.942752,0.99,0.94,0.986789,"545,600","75,099,809"
9.Jan.16,0.985501,0.99,0.97,0.986833,"226,281","75,128,312"
10.Jan.16,0.985557,1.00,0.98,0.999231,"390,888","76,097,646"
11.Jan.16,0.999216,1.07,1.00,1.06,"1,011,920","80,874,514"
12.Jan.16,1.07,1.28,1.05,1.14,"2,898,760","86,951,446"
13.Jan.16,1.14,1.15,1.08,1.13,"1,005,910","85,775,572"
14.Jan.16,1.12,1.19,1.10,1.19,"751,961","90,714,399"
15.Jan.16,1.18,1.32,1.14,1.21,"3,910,550","92,149,709"
